threshold,recall_fail,precision_fail,f1_fail,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,operational_cost
0.735,0.24096385542168675,0.18691588785046728,0.21052631578947367,0.5833024405313563,1083,87,63,20,717.0
0.74,0.2289156626506024,0.18627450980392157,0.20540540540540542,0.5789877458552157,1087,83,64,19,723.0
0.745,0.21686746987951808,0.18947368421052632,0.20224719101123595,0.5755277520337762,1093,77,65,18,727.0
0.75,0.21686746987951808,0.2,0.20809248554913296,0.5776645041705283,1098,72,65,18,722.0
0.755,0.21686746987951808,0.20930232558139536,0.21301775147928995,0.57937390587993,1102,68,65,18,718.0
0.76,0.18072289156626506,0.1875,0.18404907975460122,0.5625836680053548,1105,65,68,15,745.0
0.765,0.14457831325301204,0.16666666666666666,0.15483870967741936,0.5466481309854804,1110,60,71,12,770.0
0.77,0.13253012048192772,0.15942028985507245,0.14473684210526316,0.5414787354546391,1112,58,72,11,778.0
0.775,0.13253012048192772,0.171875,0.14965986394557823,0.5436154875913912,1117,53,72,11,773.0
0.78,0.13253012048192772,0.1774193548387097,0.15172413793103448,0.5444701884460921,1119,51,72,11,771.0
0.785,0.13253012048192772,0.1864406779661017,0.15492957746478872,0.5457522397281434,1122,48,72,11,768.0
0.79,0.13253012048192772,0.20754716981132076,0.16176470588235295,0.5483163422922459,1128,42,72,11,762.0
0.795,0.10843373493975904,0.1836734693877551,0.13636363636363635,0.5371228503758624,1130,40,74,9,780.0
0.8,0.10843373493975904,0.1956521739130435,0.13953488372093023,0.5384049016579137,1133,37,74,9,777.0
0.805,0.0963855421686747,0.18604651162790697,0.12698412698412698,0.5332355061270724,1135,35,75,8,785.0
0.81,0.0963855421686747,0.20512820512820512,0.13114754098360656,0.5349449078364741,1139,31,75,8,781.0
0.8150000000000001,0.0963855421686747,0.21052631578947367,0.1322314049586777,0.5353722582638245,1140,30,75,8,780.0
0.8200000000000001,0.0963855421686747,0.22857142857142856,0.13559322033898305,0.5366543095458758,1143,27,75,8,777.0
0.8250000000000001,0.0963855421686747,0.23529411764705882,0.13675213675213677,0.5370816599732262,1144,26,75,8,776.0
0.8300000000000001,0.07228915662650602,0.2,0.10619469026548672,0.5258881680568427,1146,24,77,6,794.0
