lower_threshold,upper_threshold,total_records,total_failures,total_passes,low_risk_records,review_records,high_risk_records,low_risk_rate,review_rate,high_risk_rate,automation_coverage,low_risk_failures,low_risk_passes,review_failures,review_passes,high_risk_failures,high_risk_passes,low_risk_npv,high_risk_precision,low_risk_failure_leakage,high_risk_failure_capture,review_failure_capture,review_plus_high_failure_capture,high_risk_false_alarm_rate,operational_cost
0.005,0.2399999999999999,1253,83,1170,0,1239,14,0.0,0.9888268156424581,0.0111731843575419,0.0111731843575419,0,0,78,1161,5,9,,0.35714285714285715,0.0,0.060240963855421686,0.9397590361445783,1.0,0.007692307692307693,1227.0
0.005,0.2449999999999999,1253,83,1170,0,1241,12,0.0,0.9904229848363927,0.009577015163607342,0.009577015163607342,0,0,78,1163,5,7,,0.4166666666666667,0.0,0.060240963855421686,0.9397590361445783,1.0,0.005982905982905983,1223.0
0.005,0.2499999999999999,1253,83,1170,0,1241,12,0.0,0.9904229848363927,0.009577015163607342,0.009577015163607342,0,0,78,1163,5,7,,0.4166666666666667,0.0,0.060240963855421686,0.9397590361445783,1.0,0.005982905982905983,1223.0
0.005,0.2549999999999999,1253,83,1170,0,1242,11,0.0,0.99122106943336,0.008778930566640064,0.008778930566640064,0,0,78,1164,5,6,,0.45454545454545453,0.0,0.060240963855421686,0.9397590361445783,1.0,0.005128205128205128,1221.0
0.005,0.2599999999999999,1253,83,1170,0,1243,10,0.0,0.9920191540303273,0.007980845969672785,0.007980845969672785,0,0,79,1164,4,6,,0.4,0.0,0.04819277108433735,0.9518072289156626,1.0,0.005128205128205128,1221.5
0.005,0.2649999999999999,1253,83,1170,0,1245,8,0.0,0.9936153232242618,0.006384676775738229,0.006384676775738229,0,0,80,1165,3,5,,0.375,0.0,0.03614457831325301,0.963855421686747,1.0,0.004273504273504274,1220.0
0.005,0.2699999999999999,1253,83,1170,0,1246,7,0.0,0.994413407821229,0.00558659217877095,0.00558659217877095,0,0,80,1166,3,4,,0.42857142857142855,0.0,0.03614457831325301,0.963855421686747,1.0,0.003418803418803419,1218.0
0.005,0.2749999999999999,1253,83,1170,0,1246,7,0.0,0.994413407821229,0.00558659217877095,0.00558659217877095,0,0,80,1166,3,4,,0.42857142857142855,0.0,0.03614457831325301,0.963855421686747,1.0,0.003418803418803419,1218.0
0.005,0.2799999999999999,1253,83,1170,0,1247,6,0.0,0.9952114924181963,0.004788507581803671,0.004788507581803671,0,0,81,1166,2,4,,0.3333333333333333,0.0,0.024096385542168676,0.9759036144578314,1.0,0.003418803418803419,1218.5
0.005,0.28499999999999986,1253,83,1170,0,1247,6,0.0,0.9952114924181963,0.004788507581803671,0.004788507581803671,0,0,81,1166,2,4,,0.3333333333333333,0.0,0.024096385542168676,0.9759036144578314,1.0,0.003418803418803419,1218.5
0.005,0.28999999999999987,1253,83,1170,0,1247,6,0.0,0.9952114924181963,0.004788507581803671,0.004788507581803671,0,0,81,1166,2,4,,0.3333333333333333,0.0,0.024096385542168676,0.9759036144578314,1.0,0.003418803418803419,1218.5
0.005,0.2949999999999999,1253,83,1170,0,1248,5,0.0,0.9960095770151636,0.0039904229848363925,0.0039904229848363925,0,0,82,1166,1,4,,0.2,0.0,0.012048192771084338,0.9879518072289156,1.0,0.003418803418803419,1219.0
