lower_threshold,upper_threshold,total_records,total_failures,low_risk_records,review_records,high_risk_records,low_risk_rate,review_rate,high_risk_rate,automation_coverage,low_risk_failures,low_risk_passes,review_failures,review_passes,high_risk_failures,high_risk_passes,low_risk_npv,high_risk_precision,high_risk_failure_capture,review_failure_capture,review_plus_high_failure_capture,low_risk_failure_leakage,operational_cost
0.02,0.3099999999999999,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.02,0.3199999999999999,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.02,0.3299999999999999,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.02,0.33999999999999986,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.02,0.34999999999999987,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.02,0.3599999999999999,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.02,0.3699999999999999,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.02,0.3799999999999999,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.02,0.38999999999999985,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.02,0.39999999999999986,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
